# Optical constant: MgFeSiO4 (Draine2003)
# Mie theory: Miepython package
# a = 0.10 micron
# wavelength: micron
#wavelength 	 Qabs
1.246070e-03 2.238364e-01
1.252364e-03 2.261656e-01
1.258721e-03 2.285525e-01
1.265143e-03 2.308969e-01
1.271631e-03 2.333938e-01
1.278186e-03 2.358455e-01
1.284808e-03 2.383482e-01
1.291500e-03 2.408045e-01
1.298262e-03 2.434034e-01
1.305095e-03 2.456747e-01
1.312000e-03 2.479953e-01
1.318979e-03 2.503627e-01
1.326032e-03 2.527752e-01
1.333161e-03 2.553208e-01
1.340368e-03 2.578166e-01
1.347652e-03 2.607922e-01
1.355016e-03 2.639709e-01
1.362462e-03 2.672588e-01
1.369989e-03 2.703955e-01
1.373023e-03 2.715989e-01
1.377600e-03 2.731316e-01
1.385296e-03 2.753094e-01
1.393079e-03 2.770262e-01
1.396216e-03 2.776690e-01
1.399368e-03 2.783880e-01
1.402534e-03 2.791828e-01
1.405714e-03 2.801346e-01
1.408909e-03 2.812412e-01
1.412118e-03 2.826633e-01
1.415343e-03 2.843963e-01
1.418581e-03 2.859539e-01
1.421835e-03 2.874182e-01
1.425104e-03 2.889492e-01
1.426743e-03 2.896305e-01
1.428387e-03 2.903089e-01
1.430035e-03 2.909837e-01
1.431686e-03 2.916564e-01
1.433341e-03 2.924832e-01
1.435000e-03 2.933063e-01
1.436663e-03 2.941255e-01
1.438329e-03 2.951759e-01
1.440000e-03 2.966879e-01
1.441674e-03 2.983478e-01
1.443353e-03 3.001533e-01
1.445035e-03 3.021028e-01
1.446721e-03 3.037353e-01
1.448411e-03 3.047490e-01
1.450105e-03 3.043862e-01
1.451803e-03 3.033359e-01
1.453505e-03 3.022089e-01
1.455211e-03 3.010050e-01
1.456921e-03 2.997241e-01
1.458635e-03 2.984431e-01
1.460353e-03 2.960868e-01
1.462076e-03 2.937259e-01
1.463802e-03 2.913596e-01
1.465532e-03 2.904581e-01
1.467266e-03 2.904835e-01
1.469005e-03 2.910474e-01
1.470747e-03 2.916861e-01
1.472494e-03 2.923221e-01
1.474245e-03 2.928023e-01
1.476000e-03 2.932040e-01
1.477759e-03 2.936800e-01
1.479523e-03 2.941537e-01
1.484838e-03 2.962424e-01
1.493783e-03 2.995867e-01
1.502836e-03 3.029297e-01
1.512000e-03 3.063421e-01
1.521276e-03 3.098205e-01
1.530667e-03 3.133605e-01
1.540174e-03 3.168879e-01
1.549800e-03 3.204716e-01
1.559547e-03 3.225955e-01
1.569418e-03 3.247324e-01
1.579414e-03 3.268818e-01
1.589539e-03 3.291753e-01
1.599794e-03 3.314089e-01
1.610182e-03 3.336491e-01
1.620706e-03 3.360238e-01
1.631368e-03 3.383357e-01
1.642172e-03 3.407758e-01
1.653120e-03 3.431496e-01
1.664215e-03 3.456437e-01
1.675460e-03 3.480703e-01
1.686857e-03 3.505494e-01
1.698411e-03 3.529555e-01
1.700741e-03 3.534159e-01
1.703077e-03 3.538127e-01
1.705420e-03 3.542651e-01
1.707769e-03 3.549480e-01
1.710124e-03 3.606883e-01
1.711304e-03 3.695615e-01
1.712486e-03 3.816198e-01
1.713670e-03 3.906389e-01
1.714855e-03 3.929231e-01
1.716042e-03 3.949104e-01
1.717230e-03 4.114658e-01
1.718420e-03 4.424067e-01
1.719135e-03 4.658455e-01
1.719612e-03 4.797646e-01
1.720089e-03 4.887919e-01
1.720566e-03 4.916547e-01
1.721044e-03 4.875244e-01
1.721522e-03 4.769828e-01
1.722000e-03 4.606676e-01
1.724395e-03 3.597329e-01
1.726797e-03 3.252504e-01
1.729205e-03 3.229354e-01
1.731620e-03 3.231739e-01
1.734042e-03 3.234741e-01
1.736471e-03 3.237683e-01
1.738906e-03 3.265025e-01
1.740126e-03 3.347396e-01
1.741348e-03 3.562928e-01
1.742572e-03 3.936181e-01
1.743798e-03 4.327440e-01
1.745025e-03 4.533830e-01
1.746254e-03 4.557644e-01
1.747484e-03 4.787112e-01
1.748717e-03 5.585631e-01
1.749210e-03 5.990071e-01
1.749704e-03 6.364206e-01
1.750198e-03 6.697519e-01
1.750692e-03 6.966887e-01
1.751186e-03 7.134634e-01
1.751681e-03 7.186133e-01
1.752176e-03 7.117385e-01
1.752672e-03 6.921559e-01
1.753663e-03 6.156226e-01
1.754905e-03 4.719063e-01
1.756147e-03 3.431076e-01
1.757392e-03 2.766629e-01
1.758638e-03 2.555426e-01
1.759887e-03 2.510502e-01
1.761136e-03 2.505310e-01
1.763642e-03 2.508107e-01
1.766154e-03 2.512364e-01
1.768673e-03 2.517333e-01
1.771200e-03 2.522990e-01
1.773734e-03 2.529316e-01
1.776275e-03 2.534945e-01
1.778824e-03 2.541237e-01
1.781379e-03 2.547502e-01
1.783942e-03 2.553067e-01
1.796870e-03 2.583171e-01
1.809985e-03 2.620382e-01
1.823294e-03 2.658573e-01
1.878546e-03 2.816654e-01
1.937250e-03 2.984916e-01
1.999742e-03 3.164668e-01
2.066400e-03 3.355814e-01
2.101424e-03 3.455670e-01
2.137655e-03 3.558449e-01
2.156243e-03 3.611625e-01
2.175158e-03 3.665579e-01
2.194407e-03 3.847729e-01
2.206121e-03 4.106265e-01
2.214000e-03 4.348871e-01
2.217961e-03 4.544763e-01
2.221935e-03 4.793006e-01
2.225925e-03 4.972040e-01
2.227524e-03 5.002179e-01
2.229928e-03 4.918829e-01
2.233946e-03 4.791032e-01
2.237978e-03 4.778277e-01
2.242025e-03 4.781422e-01
2.246087e-03 4.444867e-01
2.250163e-03 4.217651e-01
